3220['138000', 'QD', '26.08.1989', '   4.1000']
3227['138000', 'QD', '02.09.1989', '   4.6000']
3234['138000', 'QD', '09.09.1989', '   5.1200']
3241['138000', 'QD', '16.09.1989', '  21.2000']
3248['138000', 'QD', '23.09.1989', '   4.8600']
3255['138000', 'QD', '30.09.1989', '   9.8000']
3262['138000', 'QD', '07.10.1989', '   7.6400']
3269['138000', 'QD', '14.10.1989', '   7.0200']
3276['138000', 'QD', '21.10.1989', '   5.9000']
3283['138000', 'QD', '28.10.1989', '   5.1200']
3290['138000', 'QD', '04.11.1989', '   7.0200']
3297['138000', 'QD', '11.11.1989', '   7.0200']
3304['138000', 'QD', '18.11.1989', '   5.6400']
3311['138000', 'QD', '25.11.1989', '   5.3800']
3318['138000', 'QD', '02.12.1989', '   4.3500']
3325['138000', 'QD', '09.12.1989', '   3.8500']
3332['138000', 'QD', '16.12.1989', '  79.0000']
3339['138000', 'QD', '23.12.1989', '  15.3000']
3346['138000', 'QD', '30.12.1989', '   7.9800']
3353['138000', 'QD', '06.01.1990', '   6.4600']
3360['138000', 'QD', '13.01.1990', '   6.1800']
3367['138000', 'QD', '20.01.1990', '   6.4600']
3374['138000', 'QD', '27.01.1990', '  11.0000']
3381['138000', 'QD', '03.02.1990', '   6.4600']
3388['138000', 'QD', '10.02.1990', '   6.1800']
3395['138000', 'QD', '17.02.1990', '   6.4600']
3402['138000', 'QD', '24.02.1990', '   9.0000']
3409['138000', 'QD', '03.03.1990', '  17.5000']
3416['138000', 'QD', '10.03.1990', '  15.9000']
3423['138000', 'QD', '17.03.1990', '  12.8000']
3430['138000', 'QD', '24.03.1990', '  16.4000']
3437['138000', 'QD', '31.03.1990', '  12.3000']
3444['138000', 'QD', '07.04.1990', '   9.8000']
3451['138000', 'QD', '14.04.1990', '   9.8000']
3458['138000', 'QD', '21.04.1990', '   8.6600']
3465['138000', 'QD', '28.04.1990', '  14.8000']
3472['138000', 'QD', '05.05.1990', '   7.6400']
3479['138000', 'QD', '12.05.1990', '   7.0200']
3486['138000', 'QD', '19.05.1990', '   6.1800']
3493['138000', 'QD', '26.05.1990', '   6.4600']
3500['138000', 'QD', '02.06.1990', '   5.3800']
3507['138000', 'QD', '09.06.1990', '   6.1800']
3514['138000', 'QD', '16.06.1990', '   7.3000']
3521['138000', 'QD', '23.06.1990', '   6.7400']
3528['138000', 'QD', '30.06.1990', '   4.6000']
3535['138000', 'QD', '07.07.1990', '  11.4000']
3542['138000', 'QD', '14.07.1990', '   4.3500']
3549['138000', 'QD', '21.07.1990', '   3.8500']
3556['138000', 'QD', '28.07.1990', '   3.6000']
3563['138000', 'QD', '04.08.1990', '   2.9500']
3570['138000', 'QD', '11.08.1990', '   3.1500']
3577['138000', 'QD', '18.08.1990', '   5.9000']
3584['138000', 'QD', '25.08.1990', '   3.6000']
3591['138000', 'QD', '01.09.1990', '   3.1500']
3598['138000', 'QD', '08.09.1990', '   4.3500']
3605['138000', 'QD', '15.09.1990', '   4.1000']
3612['138000', 'QD', '22.09.1990', '   5.3800']
3619['138000', 'QD', '29.09.1990', '   4.6000']
3626['138000', 'QD', '06.10.1990', '   4.8600']
3633['138000', 'QD', '13.10.1990', '   3.8500']
3640['138000', 'QD', '20.10.1990', '   4.1000']
3647['138000', 'QD', '27.10.1990', '   3.8500']
3654['138000', 'QD', '03.11.1990', '   6.7400']
